policy,policy_kind,rows,avg_mission_utility,avg_goodput,avg_spectral_efficiency,outage_rate,availability,q05_margin_db_mean,q05_margin_db_p10,switch_count,switching_rate,robust_mode_share,high_rate_mode_share,utility_gain_vs_fixed_high_pct,oracle_utility_gap_pct,scenario,effective_path_m,clear_sky_snr_db,outage_penalty
TCN Policy,forecast,3225,2.333657676412487,2.4956593186339147,2.533767441860465,0.013500136851785634,0.9864998631482144,1.521202136122628,0.11779638120464071,67,0.020775193798449613,0.0,0.6114728682170543,33.822770691925804,0.9073916921199704,L300_SNR18_A12,300.0,18.0,12.0
PatchTST Policy,forecast,3225,2.329758946631902,2.498224195121599,2.537984496124031,0.01403877070747471,0.9859612292925253,1.5066284927117752,0.09074870281117393,111,0.03441860465116279,0.00124031007751938,0.6158139534883721,33.59919941723094,1.072940952815167,L300_SNR18_A12,300.0,18.0,12.0
TFT Policy,forecast,3225,2.3281183808851216,2.4973693509198602,2.5373643410852718,0.014104247502894861,0.9858957524971051,1.509264151626504,0.09957687794348263,121,0.03751937984496124,0.0015503875968992248,0.6155038759689923,33.50512175710302,1.1426032433011353,L300_SNR18_A12,300.0,18.0,12.0
Persistence Policy,forecast,3225,2.3158693870240383,2.492735370997004,2.5346356589147283,0.01473883199774713,0.9852611680022528,1.5201168648047985,0.08289280121619319,57,0.017674418604651163,0.0021705426356589145,0.6136434108527132,32.802707554177395,1.6627244089332303,L300_SNR18_A12,300.0,18.0,12.0
LSTM-raw Policy,forecast,3225,2.311424247929564,2.5358241589612955,2.5895813953488376,0.018699992585977605,0.9813000074140223,1.3118998105412327,-0.04832660520120305,85,0.02635658914728682,0.0,0.657984496124031,32.54780263142625,1.851475497670428,L300_SNR18_A12,300.0,18.0,12.0
Fixed Balanced,fixed,3225,1.77242194435695,1.7964028623074282,1.8000000000000005,0.001998409829206511,0.9980015901707935,4.272830043099373,2.264238025572418,0,0.0,0.0,0.0,1.6389069512749999,24.73878441397842,L300_SNR18_A12,300.0,18.0,12.0
Fixed High-Rate,fixed,3225,1.7438419966545262,2.7487683993309053,3.0,0.08374386688969826,0.9162561331103017,-0.22716995690062763,-2.235761974427582,0,0.0,0.0,1.0,0.0,25.952356392320024,L300_SNR18_A12,300.0,18.0,12.0
Fixed Conservative,fixed,3225,0.9994492671686621,0.9999576359360508,1.0,4.23640639490747e-05,0.9999576359360509,8.272830043099372,6.264238025572418,0,0.0,1.0,0.0,-42.6869367129559,57.56102715656551,L300_SNR18_A12,300.0,18.0,12.0
Fixed Survival,fixed,3225,0.3499934865367923,0.3499998154079253,0.35,5.274059277531964e-07,0.9999994725940723,12.272830043099372,10.264238025572418,0,0.0,1.0,0.0,-79.92974780924894,85.13845118663006,L300_SNR18_A12,300.0,18.0,12.0
Fixed Peak-Rate,fixed,3225,-9.284506139107563,0.7040169268980392,4.200000000000001,0.8323769221671335,0.16762307783286645,-3.727169956900627,-5.735761974427582,0,0.0,0.0,1.0,-632.4167073002843,494.24202592945926,L300_SNR18_A12,300.0,18.0,12.0
Oracle Policy,oracle,3225,2.9695510499298514,3.1265808629510765,3.270883720930233,0.03925745325530614,0.9607425467446938,0.9858532989133258,-0.4488693335658624,89,0.027596899224806203,0.0,0.9968992248062016,3.2391637440764147,0.0,L300_SNR20_A4,300.0,20.0,4.0
Improved LSTM Policy,forecast,3225,2.953978631659362,3.1164621780907935,3.266046511627907,0.040620886607857946,0.9593791133921421,0.9977912834094499,-0.5042965501965241,103,0.03193798449612403,0.0,0.9990697674418605,2.6977743513073325,0.5244031171263197,L300_SNR20_A4,300.0,20.0,4.0
TCN Policy,forecast,3225,2.952794475744107,3.1204458831984034,3.2753488372093025,0.04191285186357412,0.9580871481364259,0.9700393454249537,-0.5263566734307812,119,0.03689922480620155,0.0,0.9996899224806202,2.656606085674589,0.564279714475362,L300_SNR20_A4,300.0,20.0,4.0
TFT Policy,forecast,3225,2.9498911895824067,3.118417647394109,3.2749767441860467,0.04213161445292553,0.9578683855470744,0.9760858570528608,-0.5263566734307812,163,0.05054263565891473,0.0,0.9947286821705427,2.5556706814993406,0.6620482361436127,L300_SNR20_A4,300.0,20.0,4.0
PatchTST Policy,forecast,3225,2.9450175145338933,3.086695231104771,3.214697674418605,0.03541942914271949,0.9645805708572806,1.149729267905574,-0.4575300869700853,127,0.03937984496124031,0.0,0.9968992248062015,2.3862329018791573,0.8261698480158371,L300_SNR20_A4,300.0,20.0,4.0
LSTM-raw Policy,forecast,3225,2.9449927159687843,3.123714615138097,3.290232558139535,0.04468047479232822,0.9553195252076718,0.9266284927117755,-0.5653716548208144,119,0.03689922480620155,0.0,0.9996899224806202,2.385370757036097,0.8270049427723168,L300_SNR20_A4,300.0,20.0,4.0
Persistence Policy,forecast,3225,2.9420505751159753,3.111472063555143,3.2686511627906976,0.04235537210979208,0.9576446278902079,0.9923649268203026,-0.5483878940973966,89,0.027596899224806203,0.0,0.9968992248062015,2.283084533915448,0.9260819009838442,L300_SNR20_A4,300.0,20.0,4.0
Fixed High-Rate,fixed,3225,2.8763803795342504,2.9470201626575356,3.0,0.017659945780821435,0.9823400542191786,1.7728300430993722,-0.23576197442758198,0,0.0,0.0,1.0,0.0,3.137533884046275,L300_SNR20_A4,300.0,20.0,4.0
Fixed Peak-Rate,fixed,3225,1.9660506652889829,3.0557820480748448,4.200000000000001,0.27243284569646553,0.7275671543035345,-1.7271699569006278,-3.735761974427582,0,0.0,0.0,1.0,-31.648446802180942,33.79299994403443,L300_SNR20_A4,300.0,20.0,4.0
Fixed Balanced,fixed,3225,1.7982335504827716,1.7994517915291361,1.8000000000000005,0.0003045602615910704,0.9996954397384089,6.272830043099372,4.264238025572418,0,0.0,0.0,0.0,-37.48276259713796,39.44426210402241,L300_SNR20_A4,300.0,20.0,4.0
Fixed Conservative,fixed,3225,0.9999741404364589,0.9999948280872918,1.0,5.171912708169397e-06,0.9999948280872918,10.272830043099372,8.264238025572418,0,0.0,1.0,0.0,-65.23498256519268,66.32574676700436,L300_SNR20_A4,300.0,20.0,4.0
Fixed Survival,fixed,3225,0.34999980770304445,0.3499999845278311,0.35,4.420619669996625e-08,0.9999999557938033,14.272830043099372,12.264238025572418,0,0.0,1.0,0.0,-87.83193592219826,88.21371305567175,L300_SNR20_A4,300.0,20.0,4.0
Oracle Policy,oracle,3225,2.854608876816748,3.0277047065959968,3.101581395348837,0.021636978722406122,0.9783630212775939,1.5029075624792172,-0.19759447837799016,75,0.023255813953488372,0.0,0.9736434108527132,1.741724821898886,0.0,L300_SNR20_A8,300.0,20.0,8.0
Improved LSTM Policy,forecast,3225,2.839301303456333,3.0128545195736676,3.085581395348837,0.021694152014666786,0.9783058479853333,1.543062601238907,-0.20921497199116526,56,0.017364341085271316,0.0,0.9801550387596899,1.1961443295327643,0.5362406557596429,L300_SNR20_A8,300.0,20.0,8.0
TCN Policy,forecast,3225,2.8371712262977633,3.0159080293541662,3.0915348837209304,0.022342100382050357,0.9776578996179497,1.5266284927117753,-0.2244761972810977,95,0.02945736434108527,0.0,0.9792248062015503,1.1202257944659715,0.6108595352800067,L300_SNR20_A8,300.0,20.0,8.0
TFT Policy,forecast,3225,2.8350165894500767,3.019176691204115,3.0982325581395345,0.0230200127192548,0.9769799872807452,1.5123649268203025,-0.24132837187109288,136,0.04217054263565891,0.0,0.9739534883720931,1.0434319222725572,0.6863387669598742,L300_SNR20_A8,300.0,20.0,8.0
PatchTST Policy,forecast,3225,2.8331195232064235,2.97629450611647,3.0338604651162795,0.017896872863755648,0.9821031271362444,1.701357174882318,-0.1388440458566542,98,0.030387596899224805,0.0,0.9727131782945736,0.9758181790034913,0.7527950250854615,L300_SNR20_A8,300.0,20.0,8.0
LSTM-raw Policy,forecast,3225,2.831928791750254,3.0195839876505883,3.0993488372093023,0.023456899487541757,0.9765431005124583,1.5004269423241785,-0.2899713053812157,116,0.035968992248062014,0.0,0.9826356589147287,0.9333790647926903,0.794507620665192,L300_SNR20_A8,300.0,20.0,8.0
Persistence Policy,forecast,3225,2.827855428415529,3.018582873471012,3.100837209302326,0.023840930631935403,0.9761590693680646,1.505078105114876,-0.27826473081283926,74,0.022945736434108528,0.0,0.9736434108527132,0.7881994519683432,0.9372018919471927,L300_SNR20_A8,300.0,20.0,8.0
Fixed High-Rate,fixed,3225,2.8057405964109643,2.9470201626575356,3.0,0.017659945780821435,0.9823400542191786,1.7728300430993722,-0.23576197442758198,0,0.0,0.0,1.0,0.0,1.711908093702769,L300_SNR20_A8,300.0,20.0,8.0
Fixed Balanced,fixed,3225,1.7970153094364079,1.7994517915291361,1.8000000000000005,0.0003045602615910704,0.9996954397384089,6.272830043099372,4.264238025572418,0,0.0,0.0,0.0,-35.95219345170019,37.04863303583962,L300_SNR20_A8,300.0,20.0,8.0
Fixed Conservative,fixed,3225,0.9999534527856264,0.9999948280872918,1.0,5.171912708169397e-06,0.9999948280872918,10.272830043099372,8.264238025572418,0,0.0,1.0,0.0,-64.36044536459491,64.97056178495802,L300_SNR20_A8,300.0,20.0,8.0
Fixed Peak-Rate,fixed,3225,0.8763192825031205,3.0557820480748448,4.200000000000001,0.27243284569646553,0.7275671543035345,-1.7271699569006278,-3.735761974427582,0,0.0,0.0,1.0,-68.76691724017228,69.30159891185065,L300_SNR20_A8,300.0,20.0,8.0
Fixed Survival,fixed,3225,0.3499996308782575,0.3499999845278311,0.35,4.420619669996625e-08,0.9999999557938033,14.272830043099372,12.264238025572418,0,0.0,1.0,0.0,-87.52558838383104,87.73913884593003,L300_SNR20_A8,300.0,20.0,8.0
Oracle Policy,oracle,3225,2.783716828011009,2.9542318198956745,3.0003720930232554,0.014209582657055407,0.9857904173429446,1.8300393454249535,-0.023804314094068947,74,0.022945736434108528,0.0,0.9417054263565892,1.7774852936734349,0.0,L300_SNR20_A12,300.0,20.0,12.0
Improved LSTM Policy,forecast,3225,2.7704657566437825,2.956602619548955,3.006697674418604,0.015511405242097726,0.9844885947579023,1.8041478725567366,-0.04980478554617626,92,0.028527131782945737,0.0,0.9491472868217055,1.2930032847160213,0.47602080908117034,L300_SNR20_A12,300.0,20.0,12.0
LSTM-raw Policy,forecast,3225,2.7687912184796235,2.9545239793692057,3.003720930232558,0.01547773007413189,0.9845222699258681,1.8047680275954963,-0.05167522824683243,94,0.029147286821705427,0.0,0.9572093023255814,1.231779283171957,0.5361755686209703,L300_SNR20_A12,300.0,20.0,12.0
TCN Policy,forecast,3225,2.767293008028908,2.9465407622455095,2.994418604651163,0.014937312851383456,0.9850626871486166,1.8439928337970466,-0.028449636148373248,116,0.035968992248062014,0.0,0.9451162790697675,1.1770021267528339,0.5899960734812215,L300_SNR20_A12,300.0,20.0,12.0
PatchTST Policy,forecast,3225,2.765447631020543,2.9245870602386743,2.96539534883721,0.013261619101510915,0.9867383808984891,1.9261633764327055,0.038153941410959694,100,0.031007751937984496,0.0,0.9475968992248063,1.1095319626038538,0.6562879099854333,L300_SNR20_A12,300.0,20.0,12.0
TFT Policy,forecast,3225,2.765273824689982,2.9448922151134824,2.9936744186046513,0.014968199201958288,0.9850318007980418,1.8545354694559613,-0.027280077275874167,122,0.03782945736434108,0.0,0.9367441860465117,1.1031773035830104,0.6625315885382167,L300_SNR20_A12,300.0,20.0,12.0
Persistence Policy,forecast,3225,2.7639277156636863,2.9498904340661865,3.0003720930232562,0.01549689320020829,0.9845031067997917,1.8300393454249535,-0.04980478554617626,74,0.022945736434108528,0.0,0.9417054263565892,1.0539612374052605,0.7108881244024499,L300_SNR20_A12,300.0,20.0,12.0
Fixed High-Rate,fixed,3225,2.735100813287678,2.9470201626575356,3.0,0.017659945780821435,0.9823400542191786,1.7728300430993722,-0.23576197442758198,0,0.0,0.0,1.0,0.0,1.7464425344609342,L300_SNR20_A12,300.0,20.0,12.0
Fixed Balanced,fixed,3225,1.795797068390043,1.7994517915291361,1.8000000000000005,0.0003045602615910704,0.9996954397384089,6.272830043099372,4.264238025572418,0,0.0,0.0,0.0,-34.34256391334117,35.48923330419509,L300_SNR20_A12,300.0,20.0,12.0
Fixed Conservative,fixed,3225,0.999932765134794,0.9999948280872918,1.0,5.171912708169397e-06,0.9999948280872918,10.272830043099372,8.264238025572418,0,0.0,1.0,0.0,-63.440734605579564,64.07922116671418,L300_SNR20_A12,300.0,20.0,12.0
Fixed Survival,fixed,3225,0.34999945405347077,0.3499999845278311,0.35,4.420619669996625e-08,0.9999999557938033,14.272830043099372,12.264238025572418,0,0.0,1.0,0.0,-87.20341669480328,87.42690166860295,L300_SNR20_A12,300.0,20.0,12.0
Fixed Peak-Rate,fixed,3225,-0.21341210028274168,3.0557820480748448,4.200000000000001,0.27243284569646553,0.7275671543035345,-1.7271699569006278,-3.735761974427582,0,0.0,0.0,1.0,-107.80271422705673,107.66644430695295,L300_SNR20_A12,300.0,20.0,12.0
Oracle Policy,oracle,3225,3.7787618417567415,3.9003602728789164,4.0247441860465125,0.03039960778054362,0.9696003922194564,0.7839928337970468,-0.8433716331479687,74,0.022945736434108528,0.0,1.0,26.891100115171422,0.0,L300_SNR22_A4,300.0,22.0,4.0
Improved LSTM Policy,forecast,3225,3.767766067746693,3.896048642612746,4.027720930232559,0.032070643716513296,0.9679293562834868,0.7753106632544111,-0.8724519932977528,100,0.031007751937984496,0.0,1.0,26.521861216510324,0.29098880719448683,L300_SNR22_A4,300.0,22.0,4.0
PatchTST Policy,forecast,3225,3.766152803112482,3.8970057816081822,4.031441860465117,0.03271324462392498,0.967286755376075,0.7644579500761165,-0.9131828433055702,128,0.03968992248062016,0.0,1.0,26.467687671633833,0.3336817500622833,L300_SNR22_A4,300.0,22.0,4.0
LSTM-raw Policy,forecast,3225,3.765044734703519,3.915883556661935,4.071627906976745,0.03770970548960414,0.9622902945103958,0.6472486477505351,-1.1224938577275636,70,0.021705426356589147,0.0,1.0,26.430478653097015,0.36300533422464704,L300_SNR22_A4,300.0,22.0,4.0
TCN Policy,forecast,3225,3.764379916691986,3.883982296498424,4.006511627906978,0.029900594951609624,0.9700994050483904,0.8371711283706902,-0.7895701766786637,110,0.034108527131782945,0.0,1.0,26.40815401545311,0.3805988751614345,L300_SNR22_A4,300.0,22.0,4.0
TFT Policy,forecast,3225,3.763396056919269,3.874645507564525,3.9882790697674433,0.02781236266131418,0.9721876373386859,0.8903494229443337,-0.7114897567791387,136,0.04217054263565891,0.0,1.0,26.375115932041894,0.4066354398860153,L300_SNR22_A4,300.0,22.0,4.0
Persistence Policy,forecast,3225,3.7620031508686083,3.89160181431521,4.0247441860465125,0.032399665861650356,0.9676003341383497,0.7839928337970468,-0.9142305755562127,74,0.022945736434108528,0.0,1.0,26.32834204458164,0.4434968804581266,L300_SNR22_A4,300.0,22.0,4.0
Fixed Peak-Rate,fixed,3225,3.730053787817847,3.9592958425408487,4.200000000000001,0.05731051368075046,0.9426894863192495,0.27283004309937237,-1.7357619744275827,0,0.0,0.0,1.0,25.25548008734186,1.2889950724243142,L300_SNR22_A4,300.0,22.0,4.0
Fixed High-Rate,fixed,3225,2.977956561434952,2.990552812043551,3.0,0.003149062652149726,0.9968509373478502,3.772830043099373,1.7642380255724173,0,0.0,0.0,1.0,0.0,21.19226651101928,L300_SNR22_A4,300.0,22.0,4.0
Fixed Balanced,fixed,3225,1.7997542884290954,1.7999237446848921,1.8000000000000005,4.23640639490747e-05,0.9999576359360509,8.272830043099372,6.264238025572418,0,0.0,0.0,0.0,-39.56411884121408,52.37185184466688,L300_SNR22_A4,300.0,22.0,4.0
Fixed Conservative,fixed,3225,0.999997362970361,0.9999994725940723,1.0,5.274059277531964e-07,0.9999994725940723,12.272830043099374,10.264238025572418,0,0.0,1.0,0.0,-66.42001512310495,73.53637501257651,L300_SNR22_A4,300.0,22.0,4.0
Fixed Survival,fixed,3225,0.34999998348869765,0.3499999986715044,0.35,3.795701708850788e-09,0.9999999962042982,16.272830043099376,14.264238025572418,0,0.0,1.0,0.0,-88.24697485446036,90.73770726641023,L300_SNR22_A4,300.0,22.0,4.0
Oracle Policy,oracle,3225,3.6931287675852023,3.8168883826700424,3.878139534883722,0.015469951885604922,0.984530048114395,1.211589733021853,-0.06526521055602075,64,0.01984496124031008,0.0,1.0,24.542328097594414,0.0,L300_SNR22_A8,300.0,22.0,8.0
TCN Policy,forecast,3225,3.6759372723147554,3.801388298093681,3.8636279069767445,0.015681378222365667,0.9843186217776343,1.2539153144172017,0.005879155995151614,112,0.03472868217054263,0.0,1.0,23.962584205842656,0.4654994816681603,L300_SNR22_A8,300.0,22.0,8.0
PatchTST Policy,forecast,3225,3.674491608951436,3.8142800480944516,3.8840930232558146,0.017473554892876865,0.9825264451071232,1.1942253919365817,-0.1263917432779422,130,0.040310077519379844,0.0,1.0,23.91383251256473,0.5046441596444056,L300_SNR22_A8,300.0,22.0,8.0
Improved LSTM Policy,forecast,3225,3.674393330203714,3.813519378489693,3.882976744186047,0.017390756035747412,0.9826092439642526,1.1974812058900701,-0.10386138221095817,100,0.031007751937984496,0.0,1.0,23.910518286385763,0.5073052839622135,L300_SNR22_A8,300.0,22.0,8.0
TFT Policy,forecast,3225,3.6733974840774555,3.8014816732444734,3.865116279069768,0.016010523645877284,0.9839894763541227,1.249574229145884,-0.031138499251244255,138,0.04279069767441861,0.0,1.0,23.876935651499114,0.5342701202549274,L300_SNR22_A8,300.0,22.0,8.0
Persistence Policy,forecast,3225,3.6695102215246918,3.8076862253034367,3.8766511627906985,0.017272000472343032,0.982727999527657,1.2159308182931707,-0.10654567874931825,65,0.020155038759689922,0.0,1.0,23.745846605133597,0.63952674133141,L300_SNR22_A8,300.0,22.0,8.0
LSTM-raw Policy,forecast,3225,3.666164442269407,3.847403119177492,3.9391627906976754,0.02265483461351055,0.9773451653864894,1.0336052368978221,-0.44063808358349016,80,0.024806201550387597,0.0,1.0,23.6330178455704,0.7301214502040267,L300_SNR22_A8,300.0,22.0,8.0
Fixed Peak-Rate,fixed,3225,3.5008117330948445,3.9592958425408487,4.200000000000001,0.05731051368075046,0.9426894863192495,0.27283004309937237,-1.7357619744275827,0,0.0,0.0,1.0,18.056875594968687,5.207428351221737,L300_SNR22_A8,300.0,22.0,8.0
Fixed High-Rate,fixed,3225,2.965360310826353,2.990552812043551,3.0,0.003149062652149726,0.9968509373478502,3.772830043099373,1.7642380255724173,0,0.0,0.0,1.0,0.0,19.706013587896354,L300_SNR22_A8,300.0,22.0,8.0
Fixed Balanced,fixed,3225,1.799584832173299,1.7999237446848921,1.8000000000000005,4.23640639490747e-05,0.9999576359360509,8.272830043099372,6.264238025572418,0,0.0,0.0,0.0,-39.3131139712391,51.272079978137896,L300_SNR22_A8,300.0,22.0,8.0
Fixed Conservative,fixed,3225,0.9999952533466501,0.9999994725940723,1.0,5.274059277531964e-07,0.9999994725940723,12.272830043099374,10.264238025572418,0,0.0,1.0,0.0,-66.27744528394315,72.92281649847511,L300_SNR22_A8,300.0,22.0,8.0
Fixed Survival,fixed,3225,0.3499999683058907,0.3499999986715044,0.35,3.795701708850788e-09,0.9999999962042982,16.272830043099376,14.264238025572418,0,0.0,1.0,0.0,-88.19705089367854,90.52294164834274,L300_SNR22_A8,300.0,22.0,8.0
Oracle Policy,oracle,3225,3.6411922101084824,3.772299917816812,3.8145116279069775,0.01092564230902749,0.9890743576909725,1.3981013609288295,0.28977743197781936,57,0.017674418604651163,0.0,0.9990697674418605,23.31470228745468,0.0,L300_SNR22_A12,300.0,22.0,12.0
Improved LSTM Policy,forecast,3225,3.623093317173238,3.768724062731086,3.8160000000000007,0.012135895463154028,0.9878641045368459,1.3928300430993723,0.2793631195429541,59,0.018294573643410854,0.0,1.0,22.70175480617472,0.4970595313534783,L300_SNR22_A12,300.0,22.0,12.0
TCN Policy,forecast,3225,3.6230320618486918,3.754401169667336,3.796651162790698,0.010947425651553627,0.9890525743484464,1.449264151626504,0.33629478562896087,85,0.02635658914728682,0.0,1.0,22.699680298245983,0.49874181893983494,L300_SNR22_A12,300.0,22.0,12.0
TFT Policy,forecast,3225,3.6192424443390077,3.762179469261659,3.808558139534884,0.011911418743554338,0.9880885812564456,1.415775779533481,0.29096446185312147,115,0.03565891472868217,0.0,0.9987596899224807,22.571338939695156,0.602818101954051,L300_SNR22_A12,300.0,22.0,12.0
